timestamp,status,reason,x_mm,y_mm,z_mm,u_deg
2026-04-21T14:24:43,OK,words_enviadas,86.90,68.28,50.000,126.66
2026-04-21T14:24:48,OK,words_enviadas,86.96,68.21,50.000,128.67
2026-04-21T14:24:57,OK,words_enviadas,88.57,68.14,50.000,129.04
2026-04-21T14:24:58,OK,words_enviadas,19.22,181.52,50.000,90.00
2026-04-21T14:24:59,OK,words_enviadas,20.97,181.92,50.000,90.00
2026-04-21T14:24:59,OK,words_enviadas,19.72,181.99,50.000,90.00
2026-04-21T14:25:01,OK,words_enviadas,113.96,96.04,50.000,64.26
2026-04-21T14:25:01,OK,words_enviadas,113.68,97.06,50.000,64.00
2026-04-21T14:25:02,OK,words_enviadas,102.46,137.05,50.000,334.80
2026-04-21T14:25:02,OK,words_enviadas,113.71,97.16,50.000,63.02
2026-04-21T14:25:12,OK,words_enviadas,36.04,48.79,50.000,180.00
2026-04-21T14:25:13,OK,words_enviadas,48.06,45.09,50.000,196.39
2026-04-21T14:25:13,OK,words_enviadas,47.18,45.00,50.000,206.22
2026-04-21T14:25:13,OK,words_enviadas,32.74,46.29,50.000,212.12
2026-04-21T14:25:13,OK,words_enviadas,32.98,46.27,50.000,179.66
2026-04-21T14:25:14,OK,words_enviadas,33.10,46.30,50.000,196.19
2026-04-21T14:25:14,OK,words_enviadas,47.09,44.96,50.000,206.40
2026-04-21T14:25:15,OK,words_enviadas,35.69,48.59,50.000,176.28
2026-04-21T14:25:15,OK,words_enviadas,171.20,63.34,50.000,323.75
2026-04-21T14:25:23,OK,words_enviadas,170.85,64.09,50.000,333.26
2026-04-21T14:25:23,OK,words_enviadas,170.77,63.92,50.000,329.12
2026-04-21T14:25:24,OK,words_enviadas,170.86,63.98,50.000,326.06
2026-04-21T14:25:25,OK,words_enviadas,170.86,64.07,50.000,333.68
2026-04-21T14:25:25,OK,words_enviadas,170.87,63.65,50.000,329.95
2026-04-21T14:25:25,OK,words_enviadas,171.60,63.36,50.000,327.71
2026-04-21T14:25:25,OK,words_enviadas,74.69,135.56,50.000,336.37
2026-04-21T14:25:26,OK,words_enviadas,69.71,136.74,50.000,335.20
2026-04-21T14:25:29,OK,words_enviadas,49.93,47.94,50.000,311.10
2026-04-21T14:25:29,OK,words_enviadas,145.79,70.87,50.000,141.19
2026-04-21T14:25:29,OK,words_enviadas,101.64,136.72,50.000,333.89
2026-04-21T14:25:31,OK,words_enviadas,144.68,71.12,50.000,138.99
2026-04-21T14:25:32,OK,words_enviadas,101.79,137.16,50.000,154.00
2026-04-21T14:25:32,OK,words_enviadas,144.62,71.00,50.000,138.99
2026-04-21T14:25:33,OK,words_enviadas,101.78,137.22,50.000,153.90
2026-04-21T14:25:35,OK,words_enviadas,144.67,71.04,50.000,138.99
2026-04-21T14:25:35,OK,words_enviadas,101.79,137.14,50.000,153.43
2026-04-21T14:25:35,OK,words_enviadas,144.61,71.00,50.000,138.99
2026-04-21T14:25:36,OK,words_enviadas,101.80,137.18,50.000,333.43
2026-04-21T14:25:37,OK,words_enviadas,144.65,70.98,50.000,138.99
2026-04-21T14:25:38,OK,words_enviadas,101.78,137.12,50.000,154.00
2026-04-21T14:25:38,OK,words_enviadas,49.50,47.54,50.000,310.91
2026-04-21T14:25:38,OK,words_enviadas,43.68,47.66,50.000,310.99
2026-04-21T14:25:39,OK,words_enviadas,33.18,54.78,50.000,310.79
2026-04-21T14:25:39,OK,words_enviadas,33.06,50.61,50.000,310.68
2026-04-21T14:25:40,OK,words_enviadas,33.33,54.09,50.000,310.95
2026-04-21T14:25:40,OK,words_enviadas,33.18,48.78,50.000,311.01
2026-04-21T14:25:41,OK,words_enviadas,33.06,50.28,50.000,311.08
2026-04-21T14:25:41,OK,words_enviadas,33.04,48.51,50.000,311.09
2026-04-21T14:25:41,OK,words_enviadas,48.84,47.61,50.000,311.09
2026-04-21T14:25:42,OK,words_enviadas,101.82,136.00,50.000,333.43
2026-04-21T14:25:44,OK,words_enviadas,101.83,137.00,50.000,333.96
2026-04-21T14:25:45,OK,words_enviadas,48.59,48.11,50.000,310.50
2026-04-21T14:25:45,OK,words_enviadas,101.77,136.94,50.000,153.97
2026-04-21T14:25:46,OK,words_enviadas,48.62,48.09,50.000,310.50
